STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
HIMACHAL PRADESH,2002,6176050,123,86,6,137,0,137,138,116,22,0,1,18,710,564,142,422,646,75,137,0,145,1476,6,326,12,234,0,482,6921,97,3,831,12243,77.04,55673,10.21419663,117,1,1292,118036202,0,18,710,564,1292,0,0,0
JAMMU & KASHMIR,2002,10267594,1048,1240,31,192,0,192,674,596,78,42,0,163,1321,2020,664,1356,996,91,382,20,386,366,18,785,368,54,0,380,9390,13,6,2013,19967,57,222236,50.79298654,3,96,3546,100880037,42,163,1321,2020,3546,5,2,0
JHARKHAND,2002,27345207,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,125,124,2288,31439,55.86,74677,-120.9679689,731,34,22827.30935,430050269.8,580,780,1419,4374,7153,4.544525165,2.874619007,1.276078914
KARNATAKA,2002,53673558,1627,1576,55,292,0,292,645,300,345,178,66,972,6480,13818,4376,9442,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,1787,240,4399,113699,67.55,191791,878.0496622,265,19,35115.30935,649442353.6,178,972,6480,13818,21448,5,0,0
KERALA,2002,32081624,454,562,210,499,0,499,162,91,71,137,4,610,4624,5743,1978,3765,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,524,102,5668,104200,91.06,38852,385.2817545,207,0,-5844.690647,1584474.565,137,610,4624,5743,11114,4.398468372,0.378861917,-0.460617572
MADHYA PRADESH,2002,61348350,2395,2864,194,2891,0,2891,964,639,325,136,142,1829,13344,20759,4845,15914,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,7217,2504,15222,191799,64.47,308245,3036.9031,6981,39,2347.309353,1157659923,136,1829,13344,20759,36068,1,0,0
MAHARASHTRA,2002,98400213,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,634,271,11113,165462,77.65,307713,2796.238752,4461,60,54761,2245771729,548,2136,14471,37606,54761,10,9,0
MANIPUR,2002,2350361,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,0,0,164,2584,71.98,22327,-76.78902807,0,3,5163.309353,-17209610.4,3,6,44,255,308,3.28934033,0.151662498,0.218188116
MEGHALAYA,2002,2355473,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,0,2,71,1664,63.75,22429,-47.9717702,63,9,719,17518239,64,109,154,392,719,0,0,0
MIZORAM,2002,897758,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,0,40,154,2820,88.49,21081,-28.36994423,49,0,-13012.69065,-153892680.9,5,7,446,999,1457,3.134423231,-0.671429877,0.417163918
NAGALAND,2002,2021622,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,17,371,22,1114,67.11,16579,-8.280042613,9,3,516,25481751,21,110,128,257,516,0,0,0
ODISHA,2002,37472743,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,1195,480,4331,47728,64.98,155707,384.2171737,187,7,9343,186253376,246,945,2884,5268,9343,7,2,0
PUNJAB,2002,24703447,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,131,0,2249,28794,70.61,50362,73.75137978,136,73,-1748.690647,-25574779.98,50,110,1928,2963,5051,0,0,0
RAJASTHAN,2002,57315265,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,4535,930,11934,151248,61.04,342239,1348.316012,1765,33,23755,550257950,47,734,6661,16313,23755,3,1,0
SIKKIM,2002,549237,13,5,2,6,0,6,9,2,7,0,0,5,66,64,5,59,15,3,48,0,2,50,0,17,0,3,0,7,170,1,10,28,485,69.68,7096,-38.67185144,2,0,135,726030,0,5,66,64,135,2.383429011,-0.307943047,-0.128713247
TAMIL NADU,2002,63485023,1723,2133,36,534,0,534,1001,714,287,176,25,653,5533,18755,4671,14084,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,2097,77,6138,166942,74.53,130060,1034.02551,632,43,25117,437136618,176,653,5533,18755,25117,6,6,0
TRIPURA,2002,3241485,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,0,0,536,3075,74.68,10486,1.71E+31,7,42,-3.33E+39,-2.95E+43,-5.37E+21,-2.42E+22,-8.03E+22,-2.40E+23,-1.11E+24,-8.42E+29,1.01E+30,-2.61E+28
UTTAR PRADESH,2002,169440795,6825,6283,1243,1415,1,1414,3430,2298,1132,552,59,2840,6126,22419,6353,16066,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,7927,61,15317,146037,59.26,240928,1615.765275,78,80,31937,705962269,552,2840,6126,22419,31937,9,7,0
UTTARAKHAND,2002,8578095,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,99,3,869,7976,72.28,53566,63.11341063,7,0,2128,51953575,32,177,554,1365,2128,3.303749181,0.114370886,-0.170376235
