STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
NAGALAND,2011,2330916,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,0,0,36,1083,80.11,16579,20,1872.117368,-167.8431063,28459.30935,460989639.3,7,59,73,360,499,12.75507501,-19.82638455,-3.679823376
ODISHA,2011,43734549,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,1455,484,8347,61277,73.45,155707,315,1871.085874,-165.7507601,59691.30935,1120961694,417,1583,3031,8724,13755,14.63180695,-15.99882437,-4.660022325
PUNJAB,2011,27993488,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,90,0,2588,34883,75.84,50362,622,1871.577774,-166.7118918,39211.30935,620274822.1,28,236,2488,4784,7536,13.58861758,-19.71921465,-4.64129088
RAJASTHAN,2011,64670084,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,5182,1263,19701,165622,63.82,342239,1491,1870.044959,-164.0482109,100651.3094,1809572115,28,727,4510,21099,26364,19.21751827,-20.83707296,-6.547644199
SIKKIM,2011,634329,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,9,8,54,596,80.42,7096,29,1872.146798,-167.895226,26219.30935,422482768.8,0,5,60,72,137,12.58462058,-19.89473025,-3.643128056
TAMIL NADU,2011,73894269,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,1391,23,6315,192879,80.33,130058,925,1870.521923,-164.6499157,35115.30935,1127219747,101,2066,4848,13924,20939,12.76341832,-16.49885134,-6.298892605
TRIPURA,2011,3630854,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,22,30,1356,5803,81.42,10486,102,1872.096659,-167.7937575,25899.30935,429630078.7,11,50,227,494,782,12.6366466,-19.8955706,-3.659982184
UTTAR PRADESH,2011,201891234,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,7702,35,22468,195135,64.68,240928,5500,1868.455738,-161.2110414,2347.309353,1569338015,379,3148,5765,36683,45975,8.676205179,-14.24036244,-7.46498078
UTTARAKHAND,2011,9406398,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,32,0,990,8774,79.63,53483,83,1871.945699,-167.5346374,35115.30935,595044890.4,13,179,342,2093,2627,13.23276397,-19.53002813,-3.887577899
WEST BENGAL,2011,90251375,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,59,41,28919,143197,76.26,88752,1450,1870.257069,-164.8190226,18731.30935,1384360829,236,760,455,21446,22897,9.47235541,-20.39095976,-5.658761779
A & N ISLANDS,2011,530089,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,0,7,48,793,86.05,8249,31,1872.143184,-167.8854111,20523.30935,370050290.8,1,1,99,88,189,12.57297175,-20.19975017,-3.536347216
CHANDIGARH,2011,1121291,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,1,0,154,3542,86.05,114,74,1872.0075,-167.6466883,15659.30935,401601796.2,6,68,285,1502,1861,12.12807115,-20.26487375,-3.761616632
D & N HAVELI,2011,255522,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,1,2,17,372,76.24,491,11,1872.14918,-167.9029508,29035.30935,452546562,7,2,22,69,100,12.48295135,-19.72967438,-3.72659478
DAMAN & DIU,2011,188618,6,1,0,1,0,1,3,2,1,4,0,6,31,47,33,14,19,3,10,2,0,11,0,0,0,2,0,43,35,0,0,5,224,87.1,112,3,1872.150379,-167.9037282,16939.30935,346101896.5,4,6,31,47,88,12.34431715,-20.23960171,-3.508310354
LAKSHADWEEP,2011,73112,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,0,0,0,44,91.85,32,0,1872.156696,-167.9178473,11695.30935,298969772.3,0,0,0,4,4,12.27811768,-20.46741051,-3.400892531
PUDUCHERRY,2011,1131886,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,18,0,78,4362,87.02,479,15,1872.092434,-167.808764,16171.30935,372861788.2,5,11,65,707,788,12.27541229,-20.38352283,-3.601636216
ANDHRA PRADESH,2012,93556426,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,3057,666,25167,192522,194.3121289,424173.8289,2274,1869.256258,-162.3721892,2347.309353,1112524837,131,668,8442,27475,36716,11.52981069,601.8456183,216.4550402
ARUNACHAL PRADESH,2012,1349955,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,0,10,200,2420,194.3121222,424173.9699,39,1872.100545,-167.809914,702,55525053,20,65,215,402,702,12.42143871,638.5971045,232.9148097
ASSAM,2012,30626470,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,4,0,13470,77682,194.3121289,424173.8222,392,1871.039658,-165.6551205,10539.30935,655897355.1,266,907,3825,9394,14392,14.49948606,622.4784059,226.2633387
BIHAR,2012,96490282,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,4821,119,9836,146614,194.3121318,424173.7605,2894,1870.305218,-164.4634294,23231,706884978,540,1266,3758,17667,23231,10.36757995,619.8329183,224.7177811
CHHATTISGARH,2012,24431400,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,262,344,4208,54598,194.3121273,424173.8562,1881,1871.461054,-166.4235628,9151,404517643,64,412,3334,5341,9151,12.47096674,631.7741328,229.6164
GOA,2012,1633033,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,10,1,160,3608,194.3121289,424173.8193,122,1872.055535,-167.7211233,14635.30935,340861548.6,6,25,356,915,1302,13.54130349,639.236671,233.3671003
GUJARAT,2012,57731543,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,1028,221,9517,130121,194.3121505,424173.3325,1327,1870.409191,-164.5129411,22300,1990981157,287,1366,4695,15952,22300,11.65166721,611.7183264,220.0249641
HARYANA,2012,26010282,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,252,0,5922,62480,194.3121397,424173.5802,1015,1870.293037,-164.3485954,23634,1248049208,204,711,5129,17590,23634,10.7775722,616.2906095,221.6755412
HIMACHAL PRADESH,2012,7298240,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,129,3,906,12557,194.3121241,424173.9275,266,1872.030514,-167.6237665,1708,183466034,1,10,928,769,1708,12.5983892,637.23118,232.2161825
JAMMU & KASHMIR,2012,11726464,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,2,0,3322,24608,194.3121246,424173.9179,40,1871.890304,-167.3455856,3504,213931063,6,81,1395,2022,3504,12.4239673,636.2201485,231.412268
JHARKHAND,2012,31565703,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,696,287,3458,40946,194.3121254,424173.9018,113,1871.460961,-166.6416177,8674,267801586,284,494,1216,6680,8674,11.49488085,632.2741695,229.820451
KARNATAKA,2012,64017056,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,2605,374,8703,134021,194.3121523,424173.2917,875,1870.077519,-163.8103468,26628,2117307630,211,2207,5792,18418,26628,11.41106368,609.7789801,217.8686385
KERALA,2012,34430444,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,810,124,10714,158989,194.3121295,424173.8057,1324,1871.584397,-166.66038,7585,554605620,72,725,2710,4078,7585,12.67454661,631.8949012,229.4975952
MADHYA PRADESH,2012,71677391,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,2875,1218,16718,220335,194.3121289,424173.8274,5168,1869.424438,-162.3633341,2347.309353,620236945.6,107,1940,10019,23182,35248,11.51474736,607.1797242,218.1620617
MAHARASHTRA,2012,114211021,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,1091,308,15952,202700,194.3121288,424173.8349,3456,1866.612403,-156.8995345,-63188.69065,1854124500,793,6949,15648,47476,70866,6.819585006,560.2495211,194.0290352
MANIPUR,2012,2849347,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,0,2,289,3737,194.3121225,424173.9638,104,1872.074415,-167.7925494,967,74142240,8,3,53,903,967,12.30228436,637.9921214,232.7648165
MEGHALAYA,2012,2745726,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,0,0,248,2557,194.3121226,424173.961,91,1872.0924,-167.8037867,786,82235761,52,46,145,543,786,12.40567711,638.20505,232.8598545
MIZORAM,2012,1002844,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,0,0,199,1766,194.3121224,424173.9664,95,1872.080942,-167.7701469,958,66226072,2,4,347,605,958,12.41466206,638.3183152,232.7859214
NAGALAND,2012,2368252,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,0,0,47,1090,194.3121228,424173.9579,13,1872.114328,-167.8500594,501,91378454,1,54,65,381,501,12.41808038,638.3269494,232.8337375
ODISHA,2012,44459384,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,2265,688,10476,67957,194.3121403,424173.563,418,1870.988833,-165.5455176,15075,1291015472,402,1613,3430,9630,15075,12.14007698,622.5095236,224.6308539
PUNJAB,2012,28379180,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,71,0,3151,35790,194.3121324,424173.7399,877,1871.517206,-166.5796029,8361,753164978,48,213,2828,5272,8361,12.51715772,629.2336045,228.3622508
RAJASTHAN,2012,65494555,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,5559,1351,20906,170948,194.3121492,424173.365,1807,1869.856397,-163.7195013,28762,1900879015,31,807,4610,23314,28762,10.03060516,606.5082523,217.8358183
SIKKIM,2012,644932,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,5,4,68,528,194.3121216,424173.985,30,1872.139486,-167.8943168,188,9583910,0,6,65,117,188,12.41381576,639.1504101,233.2093589
TAMIL NADU,2012,75118424,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,1647,27,6381,200474,194.3121403,424173.5643,1036,1870.726561,-165.0199348,18448,1290410413,97,1898,4457,11996,18448,11.89762075,621.0312591,223.2936385
TRIPURA,2012,3675296,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,76,29,1559,6264,194.3121289,424173.8192,20,1872.089726,-167.7850784,15659.30935,352599096.9,7,60,239,565,871,13.62085738,639.5450267,233.4970479
UTTAR PRADESH,2012,205888020,4966,4811,1410,1963,0,1963,8878,7910,968,322,68,3159,6187,37376,22773,14603,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,6202,44,23033,198093,194.3121529,424173.2875,6033,1868.385374,-161.0369806,47044,2152334509,322,3159,6187,37376,47044,8.16408366,593.673623,212.6707221
UTTARAKHAND,2012,9501846,217,161,44,148,0,148,297,256,41,29,3,144,391,1913,949,964,369,137,529,22,17,1022,71,139,73,368,0,670,2118,33,3,1055,8882,194.3121243,424173.9245,122,1871.957127,-167.5570249,2477,193728474,29,144,391,1913,2477,12.25179159,636.3643274,231.8925043
WEST BENGAL,2012,91193022,2252,2854,522,2046,0,2046,5117,4168,949,279,875,816,464,22991,5158,17833,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,85,91,30585,161427,194.3121289,424173.8279,1706,1870.119942,-164.5999604,-46804.69065,885912959.1,279,816,464,22991,24550,7.44371043,620.0465262,224.5344188
A & N ISLANDS,2012,549368,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,0,4,47,683,86.63,424173.8757,28,1872.144292,-167.8958308,149,10824524,5,2,71,71,149,12.38347824,-627.7987578,-225.3623329
CHANDIGARH,2012,1144839,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,2,0,241,3606,86.05,424173.8522,96,1872.006088,-167.6555597,1850,83472950,3,63,235,1549,1850,12.16715292,-627.7341795,-225.5725839
D & N HAVELI,2012,259148,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,0,4,14,318,194.3121216,424173.9836,8,1872.146513,-167.9102518,94,13834365,2,2,22,68,94,12.41638631,639.1534021,233.222637
DAMAN & DIU,2012,191924,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,0,0,8,239,194.3121217,424173.9831,8,1872.147358,-167.9110998,85,15287800,1,3,26,55,85,12.42092083,639.1533483,233.2199511
LAKSHADWEEP,2012,74578,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,0,0,2,60,194.3121214,424173.988,0,1872.153043,-167.9231005,10,279975,0,0,3,7,10,12.4144651,639.3113512,233.2897774
PUDUCHERRY,2012,1148900,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,24,0,46,4281,194.312122,424173.9753,32,1872.092463,-167.8178275,756,39238036,5,16,77,658,756,12.32489201,638.5042026,232.9210332
