STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
WEST BENGAL,2002,WEST BENGAL2002,81247274,69.22,88752,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,4,12,,14,27,13545,334311396,204,544,348,12449,13545,0,0,0,6794,58962
A & N ISLANDS,2002,A & N ISLANDS2002,372096,81.42,8249,17,3,1,2,0,2,2,1,1,1,0,7,49,49,2,47,11,4,11,0,2,97,0,17,3,4,0,0,328,0,1,,,0,106,1225426,1,7,49,49,106,,,,27,608
CHANDIGARH,2002,CHANDIGARH2002,921594,82.17,114,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,0,0,,70,2,2010,70225405,1,26,336,1647,2010,0,0,0,186,3806
D & N HAVELI,2002,D & N HAVELI2002,223867,60.13,491,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,0,0,,0,0,,,3,1,38,75,117,,,,15,349
DAMAN & DIU,2002,DAMAN & DIU2002,161035,80.68,112,8,3,0,0,0,0,3,2,1,2,0,1,56,56,35,21,16,5,10,0,2,18,0,0,0,3,0,0,78,0,0,,0,0,,,2,1,56,56,115,0,0,0,5,261
LAKSHADWEEP,2002,LAKSHADWEEP2002,61720,86.89,32,0,0,0,1,0,1,0,0,0,0,0,0,9,12,0,12,18,0,0,0,2,5,0,1,0,0,0,0,5,1,0,,0,0,,,0,0,9,12,21,,,,2,53
PUDUCHERRY,2002,PUDUCHERRY2002,988996,81.43,479,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,18,0,,16,1,663,11230516,2,6,129,526,663,,,,111,4437
ANDHRA PRADESH,2003,ANDHRA PRADESH2003,79247829,64.84,275045,2667,1678,147,946,0,946,1485,931,554,176,5,660,9050,23408,4521,18887,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,3559,571,,1842,51,,,176,660,9050,23408,33294,22,10,0,16929,156951
ARUNACHAL PRADESH,2003,ARUNACHAL PRADESH2003,1140586,59.54,83743,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,0,66,,196,0,,,37,60,253,370,720,7,0,0,139,2061
ASSAM,2003,ASSAM2003,27348680,69.92,78438,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,67,20,,378,2,9125,150441676,471,523,2606,5525,9125,0,0,0,5198,38195
