STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
D & N HAVELI,2008,D & N HAVELI2008,244779,75.13,491,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,1,10,17,22,0,104,11846843,1,0,49,54,104,,,,25,401
DAMAN & DIU,2008,DAMAN & DIU2008,178997,95.68,112,2,2,0,0,0,0,4,1,3,2,0,4,45,49,31,18,35,4,2,1,3,12,0,2,1,5,0,39,36,0,0,4,11,0,,,2,4,45,49,100,,,,9,248
LAKSHADWEEP,2008,LAKSHADWEEP2008,68960,88.25,32,1,0,0,2,0,2,1,1,0,0,0,0,3,8,1,7,12,0,0,0,2,12,0,0,0,1,0,0,53,0,0,0,0,0,,,0,0,3,8,11,,,,4,95
PUDUCHERRY,2008,PUDUCHERRY2008,1082148,82.6,479,35,35,3,8,0,8,17,9,8,10,3,10,90,688,443,245,165,13,53,2,9,873,2,65,21,12,0,207,2668,29,0,26,51,0,,,10,10,90,688,798,,,,117,4989
ANDHRA PRADESH,2009,ANDHRA PRADESH2009,88666901,72.55,275045,2449,1859,134,1188,0,1188,1958,1526,432,102,27,544,7772,24692,7804,16888,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,4504,830,1719,1540,50,,,102,544,7772,24692,33110,0,0,0,23224,180441
ARUNACHAL PRADESH,2009,ARUNACHAL PRADESH2009,1277053,75.17,83743,59,33,5,59,0,59,62,28,34,20,0,55,201,381,109,272,52,38,29,8,28,526,0,58,6,13,0,110,619,0,21,33,139,0,,,20,55,201,381,657,0,0,0,164,2362
ASSAM,2009,ASSAM2009,29502947,89.9,78438,1323,417,35,1631,0,1631,2718,2092,626,251,21,680,3149,7644,1713,5931,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,0,9,,555,4,,,251,680,3149,7644,11724,96,0,0,9644,55313
BIHAR,2009,BIHAR2009,92712901,68.34,94163,3152,3068,243,929,0,929,3222,1986,1236,654,64,1619,3566,15221,3674,11547,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,3836,67,1016,980,28,,,654,1619,3566,15221,21060,9,5,4,7511,122931
CHHATTISGARH,2009,CHHATTISGARH2009,23364374,78.7,135191,1083,732,19,976,0,976,286,229,57,134,16,554,3975,5792,2181,3611,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,284,376,1321,2860,103,,,134,554,3975,5792,10455,67,67,54,3976,51370
GOA,2009,GOA2009,1548721,84.3,3702,53,24,11,47,0,47,33,22,11,4,0,30,294,858,336,522,50,52,132,27,24,191,3,37,10,21,0,220,884,3,0,92,76,1,,,4,30,294,858,1186,,,,140,3005
GUJARAT,2009,GUJARAT2009,55792963,83.74,196024,1020,468,30,433,0,433,1348,1162,186,246,11,1420,4488,19669,11130,8539,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,1182,195,968,1870,49,,,246,1420,4488,19669,25823,2,0,0,7966,115183
HARYANA,2009,HARYANA2009,24597824,75.08,44212,948,690,78,603,0,603,916,659,257,153,297,679,4077,12917,8449,4468,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,303,0,353,1190,45,,,153,679,4077,12917,17826,0,0,0,5216,56229
HIMACHAL PRADESH,2009,HIMACHAL PRADESH2009,6933560,81,55673,125,73,13,183,0,183,150,122,28,4,0,21,784,823,327,496,591,117,264,2,124,1230,1,318,37,284,0,616,7555,88,1,221,162,1,,,4,21,784,823,1632,0,0,0,945,13315
JAMMU & KASHMIR,2009,JAMMU & KASHMIR2009,11245253,67.38,222236,237,547,23,237,0,237,873,825,48,1,0,69,1566,2631,876,1755,1472,132,475,37,217,331,12,972,371,196,0,517,11059,1,0,18,10,20,,,1,69,1566,2631,4267,0,0,0,2613,21975
JHARKHAND,2009,JHARKHAND2009,30257439,71.96,74677,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,631,182,60,728,53,,,412,780,1392,7716,10300,,,,2606,37436
KARNATAKA,2009,KARNATAKA2009,60776921,77.98,191791,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,2174,272,308,252,21,,,273,1825,6629,20576,29303,0,0,0,6618,134042
KERALA,2009,KERALA2009,33735007,92.46,38852,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,467,102,587,677,13,,,112,830,3554,5564,10060,1,1,0,7703,118369
MADHYA PRADESH,2009,MADHYA PRADESH2009,68513643,69.58,308245,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,3040,1135,4646,5174,29,,,117,2270,10661,23260,36308,,,,15716,207762
MAHARASHTRA,2009,MAHARASHTRA2009,109291221,83.32,307713,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,1096,224,2894,6465,152,,,780,3314,15841,50930,70865,6,6,0,14726,199598
MANIPUR,2009,MANIPUR2009,2695109,82.46,22327,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,0,0,72,0,1,,,1,3,68,394,466,0,0,0,194,2852
MEGHALAYA,2009,MEGHALAYA2009,2624104,72.08,22429,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,0,0,83,87,1,,,64,67,147,545,823,0,0,0,236,2448
MIZORAM,2009,MIZORAM2009,968913,88.49,21081,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,0,0,14,19,0,,,2,4,381,761,1148,,,,149,2047
NAGALAND,2009,NAGALAND2009,2258087,70.71,16579,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,0,0,0,14,0,,,8,92,82,347,529,0,0,0,43,1059
ODISHA,2009,ODISHA2009,42302794,78.28,155707,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,1709,552,194,464,25,,,380,1488,2937,7136,11941,6,0,0,7161,55740
PUNJAB,2009,PUNJAB2009,27233507,77.38,50362,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,108,0,729,200,66,,,38,171,2507,5624,8340,,,,2563,35545
RAJASTHAN,2009,RAJASTHAN2009,63024553,65.45,342239,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,4985,1183,1407,2298,38,,,53,886,5294,22144,28377,,,,17145,166565
SIKKIM,2009,SIKKIM2009,613843,75.73,7096,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,16,14,40,60,2,,,0,4,93,62,159,,,,40,669
TAMIL NADU,2009,TAMIL NADU2009,71484288,82.11,130060,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,1312,22,634,1430,80,,,97,1144,4221,15712,21174,0,0,0,5126,174691
TRIPURA,2009,TRIPURA2009,3542715,85.15,10486,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,7,27,163,87,2,,,7,77,231,415,730,,,,1515,5486
UTTAR PRADESH,2009,UTTAR PRADESH2009,194140928,72.56,240928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,7522,4,3085,438,115,,,365,2285,5260,29226,37136,,,,22941,172884
UTTARAKHAND,2009,UTTARAKHAND2009,9217604,76.9,53566,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,58,0,33,180,18,,,35,179,363,1601,2178,,,,1181,8802
WEST BENGAL,2009,WEST BENGAL2009,88336987,73.28,88752,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,21,16,484,160,22,,,214,751,329,17133,18427,0,0,0,23196,113036
A & N ISLANDS,2009,A & N ISLANDS2009,492605,82.29,8249,15,4,4,18,0,18,16,14,2,0,0,11,86,134,10,124,11,7,20,2,12,89,1,30,7,21,0,2,451,0,2,41,,0,,,0,11,86,134,231,,,,91,941
CHANDIGARH,2009,CHANDIGARH2009,1075059,83.75,114,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,0,0,71,134,5,,,4,27,241,1731,2003,0,0,0,146,3555
D & N HAVELI,2009,D & N HAVELI2009,248338,77.63,491,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,1,16,11,26,0,,,9,2,43,63,117,,,,19,442
DAMAN & DIU,2009,DAMAN & DIU2009,182155,98.18,112,5,4,1,1,0,1,0,0,0,0,0,4,33,41,27,14,29,8,4,3,3,14,0,4,1,3,0,40,78,2,0,2,2,0,,,0,4,33,41,78,,,,9,276
LAKSHADWEEP,2009,LAKSHADWEEP2009,70304,88.48,32,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,0,0,0,0,0,,,3,0,1,10,14,,,,1,134
PUDUCHERRY,2009,PUDUCHERRY2009,1098503,82.8,479,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,29,0,21,79,0,,,7,9,71,711,798,,,,93,4591
ANDHRA PRADESH,2010,ANDHRA PRADESH2010,90282867,73.84,275045,2538,1953,155,1362,0,1362,2053,1531,522,134,2,550,8200,26756,7422,19334,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,4321,807,1823,1863,46,,,134,550,8200,26756,35640,0,0,0,24757,181438
ARUNACHAL PRADESH,2010,ARUNACHAL PRADESH2010,1301020,77.77,83743,75,34,3,47,0,47,67,46,21,15,0,69,211,445,139,306,31,59,91,0,28,439,0,84,1,12,0,106,622,0,54,20,81,0,,,15,69,211,445,740,0,0,0,190,2439
ASSAM,2010,ASSAM2010,29873851,93.23,78438,1223,431,46,1721,5,1716,3250,2767,483,248,12,662,3458,7860,2124,5736,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,7,3,197,383,13,,,248,662,3458,7860,12228,5,0,0,11493,61668
BIHAR,2010,BIHAR2010,93964050,71.01,94163,3362,2915,344,795,0,795,3674,2569,1105,644,46,1538,3437,15544,4257,11287,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,3516,71,1843,693,15,,,644,1538,3437,15544,21163,9,5,4,7450,127453
CHHATTISGARH,2010,CHHATTISGARH2010,23715086,80.45,135191,1065,756,30,1012,0,1012,359,279,80,122,15,552,3711,5805,2139,3666,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,271,386,1463,2128,82,,,122,552,3711,5805,10190,0,0,0,4157,54958
GOA,2010,GOA2010,1576280,84.59,3702,35,27,3,36,0,36,25,18,7,2,0,39,368,1034,359,675,64,57,117,33,23,177,1,36,16,17,0,256,927,1,0,79,76,0,,,2,39,368,1034,1443,1,0,0,124,3293
GUJARAT,2010,GUJARAT2010,56440178,85.56,196024,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,1008,155,1006,1688,57,,,186,1384,4071,16794,22435,8,2,0,8095,116439
HARYANA,2010,HARYANA2010,25061016,75.98,44212,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,380,0,303,836,26,,,147,734,4445,16266,21592,1,1,0,5494,59120
HIMACHAL PRADESH,2010,HIMACHAL PRADESH2010,7052334,81.56,55673,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,101,2,246,206,5,,,2,11,743,838,1594,0,0,0,1027,13049
JAMMU & KASHMIR,2010,JAMMU & KASHMIR2010,11401351,68.86,222236,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,1,0,17,27,25,,,6,61,1406,2510,3983,0,0,0,2605,23223
JHARKHAND,2010,JHARKHAND2010,30689605,74.26,74677,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,577,234,54,96,55,,,335,709,1357,7090,9491,,,,2664,38889
KARNATAKA,2010,KARNATAKA2010,61843534,79.47,191791,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,2505,294,409,180,22,,,272,1949,6059,20093,28373,0,0,0,7488,142322
KERALA,2010,KERALA2010,33967620,92.66,38863,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,583,88,596,801,5,,,74,636,2682,4380,7772,0,0,0,9110,148313
MADHYA PRADESH,2010,MADHYA PRADESH2010,69561812,70.31,308245,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,3374,1384,4912,6028,31,,,110,1919,9897,21577,33503,,,,16382,214269
MAHARASHTRA,2010,MAHARASHTRA2010,110911542,84.13,307713,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,1132,292,3264,5884,97,,,778,3721,16617,52565,73681,1,0,0,15391,208168
MANIPUR,2010,MANIPUR2010,2746055,83.95,22327,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,0,0,73,0,1,,,0,2,66,417,485,0,0,0,190,2715
MEGHALAYA,2010,MEGHALAYA2010,2664207,73.27,22429,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,0,0,110,110,0,,,42,67,166,664,939,0,0,0,258,2505
MIZORAM,2010,MIZORAM2010,979999,88.49,21081,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,0,0,50,76,1,,,3,16,425,823,1267,,,,170,2174
NAGALAND,2010,NAGALAND2010,2294197,71.23,16579,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,0,0,10,46,0,,,3,63,62,397,525,0,0,0,39,1059
ODISHA,2010,ODISHA2010,43015702,80.18,155707,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,1710,556,194,527,12,,,346,1491,2855,7572,12264,5,1,0,7534,56459
PUNJAB,2010,PUNJAB2010,27611548,78.35,50362,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,115,0,627,226,110,,,65,241,2661,5446,8413,,,,2793,36648
RAJASTHAN,2010,RAJASTHAN2010,63846695,66.08,342239,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,4979,1319,1318,2223,44,,,37,872,4714,22324,27947,,,,18017,162957
SIKKIM,2010,SIKKIM2010,623967,76.6,7096,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,3,1,29,66,1,,,1,7,72,53,133,,,,39,552
TAMIL NADU,2010,TAMIL NADU2010,72682776,83.19,130058,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,1631,33,810,1091,67,,,85,1817,4715,14583,21200,,,,5928,185678
TRIPURA,2010,TRIPURA2010,3586662,86.64,10486,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,11,35,227,45,2,,,16,65,221,457,759,,,,1676,5805
UTTAR PRADESH,2010,UTTAR PRADESH2010,197975303,74.46,240928,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,6272,0,2332,781,105,,,337,2577,4915,31153,38982,6,5,0,20030,174179
UTTARAKHAND,2010,UTTARAKHAND2010,9311652,77.56,53566,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,35,0,31,148,15,,,12,162,310,2138,2622,,,,1069,9240
WEST BENGAL,2010,WEST BENGAL2010,89299017,73.86,88752,2398,2111,630,2311,0,2311,3345,2764,581,288,687,798,388,19389,4123,15266,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,63,47,880,277,25,,,288,798,388,19389,20863,1,0,0,26014,129616
A & N ISLANDS,2010,A & N ISLANDS2010,511170,82.42,8249,9,7,4,24,0,24,10,8,2,1,0,7,80,121,22,99,11,10,56,0,12,80,0,31,10,9,0,9,489,0,1,51,,1,,,1,7,80,121,209,,,,82,980
CHANDIGARH,2010,CHANDIGARH2010,1098033,83.98,114,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,0,0,59,166,0,,,5,67,236,1481,1789,,,,138,3373
D & N HAVELI,2010,D & N HAVELI2010,251919,80.13,491,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,0,2,13,19,0,,,2,3,25,63,93,,,,29,378
DAMAN & DIU,2010,DAMAN & DIU2010,185362,,112,5,2,1,1,0,1,2,2,0,6,0,0,27,47,29,18,11,4,5,0,0,12,0,2,0,3,0,38,37,0,0,2,9,0,,,6,0,27,47,80,,,,8,203
LAKSHADWEEP,2010,LAKSHADWEEP2010,71687,88.7,32,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,3,0,0,0,2,1,0,0,0,0,0,0,26,0,0,0,0,0,,,0,0,5,5,10,,,,0,42
PUDUCHERRY,2010,PUDUCHERRY2010,1115085,82.99,479,33,19,16,3,0,3,17,14,3,2,10,5,72,534,384,150,131,12,77,3,10,806,1,46,22,7,0,242,1867,31,0,16,43,0,,,2,5,72,534,613,,,,93,3935
ANDHRA PRADESH,2011,ANDHRA PRADESH2011,91912596,67.02,275045,2808,2229,171,1442,0,1442,2154,1612,542,126,7,600,8300,28267,8966,19301,2210,1174,9748,224,1021,54452,599,4849,3658,13376,0,13973,38392,4016,805,2213,,,,,126,600,8300,28267,37293,,,,25536,189780
ARUNACHAL PRADESH,2011,ARUNACHAL PRADESH2011,1325322,65.38,83743,65,29,2,42,0,42,93,60,33,13,0,64,183,414,152,262,49,54,74,2,34,379,0,51,0,18,0,98,622,0,34,35,,,,,13,64,183,414,674,,,,171,2286
ASSAM,2011,ASSAM2011,30248340,72.19,78438,1303,504,48,1700,0,1700,3764,3192,572,305,4,837,3327,8309,585,7724,2328,920,1495,60,506,6306,121,1193,8,5246,2,2915,25513,0,2,236,,,,,305,837,3327,8309,12778,,,,11462,66714
BIHAR,2011,BIHAR2011,95223170,61.8,94163,3198,3327,348,934,1,933,4268,3050,1218,556,105,1381,3629,16292,5041,11251,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,3623,97,2233,,,,,556,1381,3629,16292,21858,,,,8815,135896
CHHATTISGARH,2011,CHHATTISGARH2011,24070759,70.28,135191,1110,747,28,1053,0,1053,472,365,107,68,7,470,3548,5315,2292,3023,934,180,980,65,289,11105,104,1654,174,834,2,2856,25223,253,336,1782,,,,,68,470,3548,5315,9401,,,,4186,57218
GOA,2011,GOA2011,1604384,88.7,3702,48,22,6,29,0,29,28,17,11,2,0,26,318,1115,463,652,74,45,142,31,24,215,1,29,12,18,0,263,1001,4,1,75,,,,,2,26,318,1115,1461,,,,106,3449
GUJARAT,2011,GUJARAT2011,57086389,78.03,196024,1126,478,43,439,0,439,1614,1442,172,221,24,1368,4509,16043,8934,7109,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,1063,153,1131,,,,,221,1368,4509,16043,22141,,,,8741,123371
HARYANA,2011,HARYANA2011,25531730,75.55,44212,1062,851,60,733,0,733,959,733,226,167,176,638,5011,17425,12541,4884,1466,812,1761,18,166,3423,255,474,490,2740,0,1505,20549,408,0,280,,,,,167,638,5011,17425,23241,,,,5425,60741
HIMACHAL PRADESH,2011,HIMACHAL PRADESH2011,7173879,82.8,55673,130,50,6,168,0,168,212,191,21,1,0,10,995,1042,356,686,530,143,359,4,110,1251,4,331,62,239,0,563,8102,94,4,261,,,,,1,10,995,1042,2048,,,,995,14312
JAMMU & KASHMIR,2011,JAMMU & KASHMIR2011,11561741,67.16,222236,169,494,29,277,0,277,1077,1023,54,14,0,88,1516,2655,930,1725,1405,195,612,39,205,246,11,1194,350,286,0,385,13257,1,0,25,,,,,14,88,1516,2655,4273,,,,3141,24504
JHARKHAND,2011,JHARKHAND2011,31125719,66.41,74677,1747,718,83,784,0,784,941,660,281,309,40,614,1235,6378,1872,4506,2133,447,907,22,138,4403,282,317,7,659,6,1728,11940,636,309,85,,,,,309,614,1235,6378,8536,,,,2715,35838
KARNATAKA,2011,KARNATAKA2011,62923535,75.36,191791,1820,1837,85,636,0,636,1395,715,680,214,399,2123,6136,19834,10226,9608,7265,440,5850,105,231,21295,267,2608,81,3712,12,750,60505,2481,285,334,,,,,214,2123,6136,19834,28307,,,,8031,137600
KERALA,2011,KERALA2011,34199435,94,38863,365,521,105,1132,0,1132,299,221,78,71,245,741,3001,4704,1454,3250,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,761,231,1452,,,,,71,741,3001,4704,8517,,,,11074,172137
MADHYA PRADESH,2011,MADHYA PRADESH2011,70616363,69.32,308245,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,3245,1284,4381,,,,,118,1952,10230,22414,34714,,,,16509,217094
MAHARASHTRA,2011,MAHARASHTRA2011,112551610,82.34,307713,2818,2105,144,1701,0,1701,1669,1252,417,773,291,4249,16313,53449,19270,34179,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,1143,321,3362,,,,,773,4249,16313,53449,74784,,,,15293,204902
MANIPUR,2011,MANIPUR2011,2797463,79.85,22327,78,245,4,53,0,53,169,116,53,1,154,7,52,719,553,166,70,42,126,12,99,292,1,38,0,39,0,2,1015,0,1,87,,,,,1,7,52,719,779,,,,247,3218
MEGHALAYA,2011,MEGHALAYA2011,2704745,73.78,22429,170,51,3,130,0,130,87,37,50,49,0,63,145,696,190,506,8,52,166,13,34,197,1,74,1,21,3,90,701,0,0,104,,,,,49,63,145,696,953,,,,267,2755
MIZORAM,2011,MIZORAM2011,991322,91.58,21081,26,24,8,77,0,77,6,0,6,1,0,6,336,734,39,695,0,21,66,2,19,97,0,72,1,9,0,37,279,0,0,52,,,,,1,6,336,734,1077,,,,159,1821
NAGALAND,2011,NAGALAND2011,2330916,80.11,16579,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,0,0,20,,,,,7,59,73,360,499,,,,36,1083
ODISHA,2011,ODISHA2011,43734549,73.45,155707,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,1455,484,315,,,,,417,1583,3031,8724,13755,,,,8347,61277
PUNJAB,2011,PUNJAB2011,27993488,75.84,50362,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,90,0,622,,,,,28,236,2488,4784,7536,,,,2588,34883
RAJASTHAN,2011,RAJASTHAN2011,64670084,63.82,342239,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,5182,1263,1491,,,,,28,727,4510,21099,26364,,,,19701,165622
SIKKIM,2011,SIKKIM2011,634329,80.42,7096,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,9,8,29,,,,,0,5,60,72,137,,,,54,596
TAMIL NADU,2011,TAMIL NADU2011,73894269,80.33,130058,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,1391,23,925,,,,,101,2066,4848,13924,20939,,,,6315,192879
TRIPURA,2011,TRIPURA2011,3630854,81.42,10486,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,22,30,102,,,,,11,50,227,494,782,,,,1356,5803
UTTAR PRADESH,2011,UTTAR PRADESH2011,201891234,64.68,240928,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,7702,35,5500,,,,,379,3148,5765,36683,45975,,,,22468,195135
UTTARAKHAND,2011,UTTARAKHAND2011,9406398,79.63,53483,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,32,0,83,,,,,13,179,342,2093,2627,,,,990,8774
